name,author,translator,publisher
قدس - پنجشنبه ۲۵ آذر ۱۳۹۵,,,روزنامه قدس
رنگ آمیزی ماشین ها,آتلیه محمدی‌فرد,,نشر آبشن
حشرات,استر لابی,نیما سلامیان,انتشارات فنی ایران (کتاب های نردبان)
دنیای جانوران!,امی جونز,نیما سلامیان,انتشارات فنی ایران (کتاب های نردبان)
قلاب,نیر ایال,مهدیه شعبانی فقفوری,نشر مات
Judy moody Saves the World!,مگان مک دونالد,,نشر معیار علم
سه گانه بنیاد، کتاب اول؛ بنیاد,آیزاک آسیموف,حسین شهرابی,انتشارات کتابسرای تندیس
چشم اندازهای معنوی و فلسفی اسلام ایرانی (جلد اول),هانری کربن,انشاالله رحمتی,سوفیا
اندیشه یونگ,ریچارد بیلسکر,حسین پاینده,انتشارات مروارید
روباه ها با مرغ ها کاری ندارند,کریستیان ژولی بوآ,محمدمهدی شجاعی,انتشارات چكه
آینده روحانیت و جهان معاصر,بیژن عبدالکریمی,,نقد فرهنگ
ایران - ۱۳۹۵ پنج شنبه ۲۵ آذر,,,روزنامه ایران
باد در بیدزار,کنت گرهم,سحرالسادات رخصت‌پناه,نشر افق
ذهن ارتجاعی,کوری رابین,اکبر معصوم بیگی,انتشارات نگاه
پسرک و اسب خورشید,مری استوارت,مجید عمیق,نشر قو
رنگ آمیزی برای آرامش ذهن؛ نمادها,لیدیا هس,نیلوفر امن زاده,حوض نقره
سیر تطور تفکر سیاسی امام خمینی (ره),نجف لک زایی,,سازمان انتشارات پژوهشگاه فرهنگ و اندیشه اسلامی
دغدغه ایران,محمد فاضلی,,انتشارات کویر
سركار هاپو و بچه گربه,دیو پیلکی,سهیل محمدیان,سایه گستر
سركار هاپو، ارباب ‌شپش ها,دیو پیلکی,سهیل محمدیان,سایه گستر
قلب عریان,شارل بودلر,عظیم جابری,درون
خلاقیت، فعالیت، سرگرمی (جلد دوم),هانا زورنسن,فرزانه کریمی,انتشارات قدیانی
ابرار ورزشی - ۱۳۹۵/۹/۲۵,,,روزنامه ابرار ورزشی
زن، غذا و خدا,جینین راث,آراز ایلخچویی,نشر آموت
وجودگرایی,جان مک کواری,محمدسعید حنایی کاشانی,انتشارات شرکت کتاب هرمس
آسیب شناسی نظام آموزشی در ایران,ولی بهرامی,,گل آذين
خلاقیت، فعالیت، سرگرمی (جلد اول),هانا زورنسن,فرزانه کریمی,انتشارات قدیانی
ماجراجویی تاریخی (کمی تا قسمتی),لیز پیشون,آتوسا صالحی,نشر افق
باغبان شب,جاناتان آكسير,ثمین نبی‌پور,نشر افق
مشهورات بی اعتبار (دفتر اول),مهدی سیمایی,,انتشارات کتاب طه
اگه گفتی من کی ام؟,تارو گومی,زهرا موسوی,انتشارات فنی ایران (کتاب های نردبان)
طبقه متروک,امیر عربلو,,انتشارات قصه باران
شهروند - ۱۳۹۵ پنج شنبه ۲۵ آذر,,,روزنامه شهروند
نامه ها,صمد  بهرنگی,,انتشارات نگاه
مجموعه مقاله ها، صمد بهرنگی,صمد  بهرنگی,,انتشارات نگاه
محمدعلی سپانلو,محمدعلی سپانلو,,انتشارات نگاه
خرس پشمالو,ایرینا کورشونف,کتایون سلطانی,انتشارات علمی و فرهنگی
نظریه های رمان پسامدرن و سینمای ایران,محمدحسین رمضانی فوکلائی,,انتشارات مروارید
سیاه,آلن بدیو,فرید دبیرمقدم,نشر مشکی
The Course of Love,آلن دوباتن,,نشر معیار علم
The Bad Guys (Vol. 8),آرون بلیبی,,نشر معیار علم
غول قوطی ماکارونی,جرمانو زولو,کلر ژوبرت,انتشارات کتاب کودکان
اطلس جانوران برای نوجوانان,انجمن ملی جغرافیایی آمریکا,سپیده چوبینه $ مهدی چوبینه,انتشارات قدیانی
جهان صنعت -  ۲۵ آذر ۱۳۹۵,,,روزنامه جهان صنعت
نیایش فیلسوف,غلامحسین ابراهیمی دینانی,,انتشارات شرکت کتاب هرمس
ایران در عصر قاجاریه,زهرا مروتی,,انتشارات قدیانی
سفر به مرکز زمین,ژول ورن,رضا مرتضوی,آفرینگان
سائو، هنر شمشیرزنی آنلاین (جلد اول),رکی کاواهارا,ژاله فراهانی,نشر پیدایش
